sample_id,party_name,source_url,evidence_id,window_index,window_count,excerpt,manual_label,manual_note
S023,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561267,2,5,prioridades en dicho ambito consiste en impulsar constantemente politicas en materia de educacion superior e investigacion asi como fomentar el proceso de modernizacion de los estados miembros en este campo 344 la ue debe promover una,,
S024,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561268,0,4,ementar la eficiencia energetica promover fuentes de energia con bajas emisiones de gases de efecto invernadero y diversificar las fuentes como tambien las vias de suministro energetico el continuo aumento mundial de la demanda de energia,,
S025,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561269,1,4,dependencia de combustibles fosiles provenientes de zonas politicamente inestables es otra razon fundamental para incrementar la eficiencia energetica promover fuentes de energia con bajas emisiones de gases de efecto invernadero y diversificar las fuentes como tambien,,
S026,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561270,2,4,y comunicacion reforzar nuestra defensa contra las amenazas en las redes de internet madiante una mayor cooperacion europea es especialmente importante de modo que complemente las actuales capacidades existentes en la otan en este ambito 317,,
S027,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561274,2,4,el proceso de modernizacion de los estados miembros en este campo 344 la ue debe promover una inversion continua y acertada en los sistemas de educacion superior y de investigacion debemos intentar lograr un nuevo y,,
S028,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561275,3,4,partidos politicos nacionales y europeos deben organizarse y funcionar de conformidad con las normas de la democracia,,
S029,PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,1560844,0,4,force within the european commission and european council it is also largely represented on the ground at local and regional level more than any other party in europe through structural and cohesion policies for example we,,
S030,PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,1560849,1,4,russian war of aggression in ukraine and the systemic competition with china this is all the more important we will invest more in the development of electricity and gas network interconnections between eu member states in,,
S031,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1560855,0,5,os enemigos de los trabajadores del campo son los politicos que utilizan el agua como excusa para no invertir dinero en infraestructuras hidricas enfrentando unas regiones con otras por un bien tan esencial como el agua,,
S032,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1560858,2,4,sistemas autonomicos sanitarios farmaceuticos y de educacion sin perjuicio de que el objetivo ultimo de vox sea la recuperacion completa de todas estas competencias y la eliminacion del estado autonomico se eliminaran ipso facto todas las,,
S033,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1560862,1,3,a nuestra nacion de aquellos inmigrantes legales que cometan delitos graves o hagan del delito leve su forma de vida asi como de aquellos que decidan no integrarse con ese criterio revisar todas las regularizaciones de,,
S034,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1560865,1,4,invertir dinero en infraestructuras hidricas enfrentando unas regiones con otras por un bien tan esencial como el agua impulsaremos un plan nacional del agua bajo los principios de solidaridad y bien 41 programa economico y de,,
S035,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561008,0,4,stracion publica reducir drasticamente todo el gasto de la administracion territorial del estado las transferencias a comunidades autonomas y administraciones locales se limitaran al minimo constitucionalmente permitido crear una central de compras nacional para todos los,,
S036,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561015,3,4,vivienda comun asegurando la interconexion de todas las cuencas que permita una gestion mas eficiente del agua y pueda servir para reactivar economica,,
S037,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561152,0,3,ceder a tramitar de forma preferente y urgente la inmediata expulsion de todos los inmigrantes que accedan ilegalmente a nuestra nacion de aquellos inmigrantes legales que cometan delitos graves o hagan del delito leve su forma,,
S038,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561281,0,3,ades autonomas y administraciones locales se limitaran al minimo constitucionalmente permitido crear una central de compras nacional para todos los sistemas autonomicos sanitarios farmaceuticos y de educacion sin perjuicio de que el objetivo ultimo de vox,,
S039,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561282,1,3,el arrendamiento a inmigrantes ilegales y perseguir el empadronamiento fraudulento de los mismos en la compra atajar la adquisicion masiva de vivienda por capital extranjero estableciendo una fiscalidad diferenciada para compradores no comunitarios la,,
