sample_id,party_name,source_url,evidence_id,window_index,window_count,excerpt,manual_label,manual_note
S001,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560537,2,5,emprego sepe e garantir a cobertura de todas as persoas sen ocupacion impulsar un plan de accion contra a sinistralidade laboral que abranga a promocion do emprego estabel naqueles sectores con maiores taxas de sinistralidade un maior control e fiscalizacion,,
S002,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560538,4,6,inversamente proporcionais aos tipos de gravame soportados aplicar un incremento da porcentaxe de reducion da base imponibel do is do 10 ao 25 pola denominada reserva de capitalizacion as entidades de reducida,,
S003,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560539,5,6,da sanidade publica no financiamento da prestacion farmaceutica para por fin ao modelo actual de copagamentos e repagamentos que se revela como u,,
S004,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560540,2,7,publico desde o bloque nacionalista galego asumimos o compromiso de impulsar as reformas lexislativas necesarias para garantir os dereitos da poboacion migrante vivenda traballo atencion sanitaria educacion asi como favorecer e facilitar os procesos de 2 mais dereitos para unha,,
S005,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560541,1,6,publico de pasaxeiros investimentos en eficiencia enerxetica e enerxias renovabeis no ambito domestico e nas pequenas e medianas empresas estabelecer a permanencia da rebaixa do ive da electricidade gas biomasa para quecemento e madeira para lena no 5 e do,,
S006,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560542,2,6,implantacion pivote en funcion do desenvolvemento social e economico das zonas produtoras impulsar unha tarifa electrica galega que considere a traves de reducion nas peaxes do transporte o papel da galiza de nacion excedentaria na producion electrica compensando o impacto,,
S007,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560543,3,4,saldar a debeda coa galiza na lei de dependencia a modernizacion xeral da rede ferroviaria interna galega coa excepcion dos casos citados,,
S008,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560830,5,7,galiza estabelecer distintos tipos de gravame en funcion da natureza dos rendementos minorando a tributacion polos ingresos do traballo e aumentando a correspondente aos derivados do capital deducions inversamente pr,,
S009,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560831,3,6,en materia de violencia sexual de forma que o consentimento sexa o elemento central en lina coas exixencias e acordos do convenio de istambul sen requirir as vitimas demostracion de resistencia ou de secuelas fisicas e que os elementos de,,
S010,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560832,4,6,de forma que o consentimento sexa o elemento central en lina coas exixencias e acordos do convenio de istambul sen requirir as vitimas demostracion de resistencia ou de secue,,
S011,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560925,2,7,violencia de genero adquisicion de viviendas en nucleos rurales adquisicion de vivienda por familias numerosas con ampliacion de superficie habitable 2 establecer un tipo general en la modalidad impositiva de actos juridicos documentados sobre copias de escrituras y actas notariales,,
S012,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560926,2,6,ampliadas sus competencias y asignaciones presupuestarias impulsaremos tambien el papel de las medidas de acompanamiento al empleo de esta forma se completara por estas dos vias empresa y entidades sin fin de lucro un programa orientador y de insercion realmente,,
S013,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560927,3,6,la implantacion definitiva de las diferentes especialidades de enfermeria geriatria salud mental etc 13 crearemos plazas de geriatria en todas las areas sanitarias como referentes y consultores de los medicos de atencion primaria y especializada pagina 47 de 125 14,,
S014,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560928,5,7,5 poner en marcha programas de difusion y potenciacion de imagen de las empresas de transformacion y comercializacion asturianas basadas en productos locales de cal,,
S015,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560929,5,6,la energia nuestras principales industrias el estan seriamente amenazadas de deslocalizacion por los diferenciales de costes energ,,
S016,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560930,2,8,publicos un activo fundamental sin los cuales no se podra llevara a cabo 6 impulsaremos una administracion menos burocratizada con una ambiciosa reforma que garantice la simplificacion administrativa y la agilidad de los procedimientos e energia en el marco de,,
S017,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560931,1,5,empresas privadas y las practicas no laborales se configuraran como otra alternativa a esa primera experiencia laboral de los jovenes 5 se reforzara la movilidad internacional dentro del bachillerato la formacion profesional y la universidad con un nuevo paquete de,,
S018,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560932,2,6,justicia tecnologicamente avanzada para ello desde foro asturias proponemos 1 elevar justicia al rango de consejeria para poner de relieve la asuncion de las competencias y forzar el escrutinio publico y parlamentario de las politicas dirigidas a su modernizacion 2,,
S019,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560935,5,6,creativa fomentando la adaptacion de los artesanos a los nuevos medios tecnicos asi como la ensenanza de tecnicas de trabajo tradicionales preten,,
S020,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560936,0,6,vertir la perdida de poblacion activa una de las mayores limitaciones del mercado laboral asturiano 4 mejorar la formacion y la cualificacion tecnica y laboral 5 crear empleo para las mujeres como medida de avance en la igualdad de oportunidades,,
S021,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561264,4,5,los retos futuros del mercado laboral es decir los formados por los trabajadores de mas 48 49 edad los jovenes y las mujeres,,
S022,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561266,2,4,o salud justicia 117 a partir de la idea de justicia se deriva el hecho que es preciso garantizar en todo momento las condiciones necesarias para que las personas y sus comunidades e,,
S023,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561267,1,7,ya que es la unica manera de crear una economia basada en el conocimiento y ser competitivos en todo el mundo una de las prioridades en dicho ambito consiste en impulsar constantemente politicas en materia de educacion superior e investigacion,,
S024,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561268,2,6,de suministro energetico el continuo aumento mundial de la demanda de energia provocara precios cada vez mas altos y disminucion de las reservas por lo tanto es preciso buscar nuevas vias para garantizar la seguridad energetica de nuestros ciudadanos y,,
S025,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561269,3,6,promover fuentes de energia con bajas emisiones de gases de efecto invernadero y diversificar las fuentes como tambien las vias de suministro energetico el continuo aumento mundial de la demanda de energia provocara precios cada vez mas altos y di,,
S026,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561270,4,6,internet madiante una mayor cooperacion europea es especialmente importante de modo que complemente las actuales capacidades existentes en la otan en este ambito 317 l,,
S027,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561274,2,6,constantemente politicas en materia de educacion superior e investigacion asi como fomentar el proceso de modernizacion de los estados miembros en este campo 344 la ue debe promover una inversion continua y acertada en los sistemas de educacion superior y,,
