party_name,source_url,support_rows,unclear_rows,unclear_unique_exact_excerpt_rows,unclear_near_duplicate_collapsed_rows,unclear_unique_excerpt_rows,support_to_unclear_unique_ratio
BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,9,3,3,0,3,3.000000
BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,10,14,7,2,5,2.000000
