fresh_rank,initiative_source_id,initiative_id,doc_kind,doc_url,source_record_pk,attempts,fetched_ok,last_http_status,last_attempt_at
1,senado_iniciativas,senado:leg10:exp:610/000102,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000102,,5,,404,2026-03-01T01:31:47+00:00
2,senado_iniciativas,senado:leg10:exp:610/000103,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000103,,5,,404,2026-03-01T01:31:47+00:00
3,senado_iniciativas,senado:leg10:exp:610/000104,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000104,,5,,404,2026-03-01T01:31:47+00:00
4,senado_iniciativas,senado:leg10:exp:610/000105,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000105,,5,,404,2026-03-01T01:31:47+00:00
5,senado_iniciativas,senado:leg12:exp:621/000015,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000015,,5,,404,2026-03-01T01:31:47+00:00
6,senado_iniciativas,senado:leg12:exp:621/000017,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000017,,5,,404,2026-03-01T01:31:47+00:00
7,senado_iniciativas,senado:leg12:exp:621/000018,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000018,,5,,404,2026-03-01T01:31:47+00:00
8,senado_iniciativas,senado:leg12:exp:622/000027,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=622&numEx=000027,,5,,404,2026-03-01T01:31:47+00:00
9,senado_iniciativas,senado:leg12:exp:622/000032,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=622&numEx=000032,,5,,404,2026-03-01T01:31:47+00:00
10,senado_iniciativas,senado:leg12:exp:624/000012,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=624&numEx=000012,,5,,404,2026-03-01T01:31:47+00:00
11,senado_iniciativas,senado:leg12:exp:624/000013,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=624&numEx=000013,,5,,404,2026-03-01T01:31:47+00:00
12,senado_iniciativas,senado:leg12:exp:624/000014,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=624&numEx=000014,,5,,404,2026-03-01T01:31:47+00:00
13,senado_iniciativas,senado:leg12:exp:624/000016,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=624&numEx=000016,,5,,404,2026-03-01T01:31:47+00:00
14,senado_iniciativas,senado:leg12:exp:625/000001,bocg,http://www.senado.es/legis12/expedientes/625/enmiendas/global_enmiendas_vetos_12_625000001.xml,,5,,404,2026-03-01T01:31:47+00:00
15,senado_iniciativas,senado:leg12:exp:626/000001,bocg,http://www.senado.es/legis12/expedientes/626/enmiendas/global_enmiendas_vetos_12_626000001.xml,,5,,404,2026-03-01T01:31:47+00:00
16,senado_iniciativas,senado:leg12:exp:626/000004,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=626&numEx=000004,,5,,404,2026-03-01T01:31:47+00:00
17,senado_iniciativas,senado:leg12:exp:626/000008,bocg,http://www.senado.es/legis12/expedientes/626/enmiendas/global_enmiendas_vetos_12_626000008.xml,,5,,404,2026-03-01T01:31:47+00:00
18,senado_iniciativas,senado:leg12:exp:626/000009,bocg,http://www.senado.es/legis12/expedientes/626/enmiendas/global_enmiendas_vetos_12_626000009.xml,,5,,404,2026-03-01T01:31:47+00:00
19,senado_iniciativas,senado:leg14:exp:620/000007,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=620&numEx=000007,,5,,404,2026-03-01T01:31:47+00:00
20,senado_iniciativas,senado:leg14:exp:621/000012,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000012,,5,,404,2026-03-01T01:31:47+00:00
21,senado_iniciativas,senado:leg14:exp:621/000014,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000014,,5,,404,2026-03-01T01:31:47+00:00
22,senado_iniciativas,senado:leg14:exp:621/000040,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000040,,5,,404,2026-03-01T01:31:47+00:00
23,senado_iniciativas,senado:leg14:exp:621/000047,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000047,,5,,404,2026-03-01T01:31:47+00:00
24,senado_iniciativas,senado:leg14:exp:621/000048,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000048,,5,,404,2026-03-01T01:31:47+00:00
25,senado_iniciativas,senado:leg14:exp:621/000049,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000049,,5,,404,2026-03-01T01:31:47+00:00
26,senado_iniciativas,senado:leg14:exp:621/000050,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000050,,5,,404,2026-03-01T01:31:47+00:00
27,senado_iniciativas,senado:leg14:exp:621/000051,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000051,,5,,404,2026-03-01T01:31:47+00:00
28,senado_iniciativas,senado:leg14:exp:621/000052,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000052,,5,,404,2026-03-01T01:31:47+00:00
29,senado_iniciativas,senado:leg14:exp:621/000053,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000053,,5,,404,2026-03-01T01:31:47+00:00
30,senado_iniciativas,senado:leg14:exp:621/000054,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000054,,5,,404,2026-03-01T01:31:47+00:00
