packet_kind,packet_rank,packet_id,cohort,legislature,tipo_expediente,initiative_id,doc_kind,doc_url,last_http_status,attempts,last_attempt_at,method_hint,is_zero_doc_initiative,cohort_missing_urls,cohort_blocked_403_rate
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000109,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000109,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000110,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000110,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000111,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000111,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000112,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000112,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000113,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000113&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000132,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000132,404,8,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000133,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000133,404,8,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000134,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000134,404,8,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000135,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000135,404,8,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000137,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000137,404,8,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000138,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000138,404,8,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000139,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000139,404,8,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000140,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000140&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000141,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000141&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000142,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000142&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000143,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000143&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
