source_record_pk,doc_url,final_excerpt_text,final_excerpt_chars
141608,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_013_2025_conv.pdf,Documento pdf vinculado a iniciativa congreso:ley:13:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_013_2025_conv.pdf,139
141609,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_016_2025.pdf,Documento pdf vinculado a iniciativa congreso:ley:16:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_016_2025.pdf,134
141610,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_017_2025.pdf,Documento pdf vinculado a iniciativa congreso:ley:17:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_017_2025.pdf,134
141611,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-286-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000241/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-286-1.PDF,151
141612,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-97-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000083/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-97-1.PDF,150
141613,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000083/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,148
141613,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000017/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,148
141613,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000119/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-62.PDF,148
141614,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_001_2025_corr.pdf,Documento pdf vinculado a iniciativa congreso:ley:1:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_001_2025_corr.pdf,137
141615,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_002_2025.pdf,Documento pdf vinculado a iniciativa congreso:ley:2:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_002_2025.pdf,132
141616,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_003_2025.pdf,Documento pdf vinculado a iniciativa congreso:ley:3:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_003_2025.pdf,132
141617,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_005_2024.pdf,Documento pdf vinculado a iniciativa congreso:ley:5:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_005_2024.pdf,132
141618,https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_006_2024.pdf,Documento pdf vinculado a iniciativa congreso:ley:6:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_006_2024.pdf,132
141619,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_004_2025_conv.pdf,Documento pdf vinculado a iniciativa congreso:ley:4:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_004_2025_conv.pdf,138
141620,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_005_2025_corr.pdf,Documento pdf vinculado a iniciativa congreso:ley:5:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_005_2025_corr.pdf,138
141621,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_006_2025_conv.pdf,Documento pdf vinculado a iniciativa congreso:ley:6:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_006_2025_conv.pdf,138
141622,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2024.pdf,Documento pdf vinculado a iniciativa congreso:ley:7:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2024.pdf,133
141623,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2025_der.pdf,Documento pdf vinculado a iniciativa congreso:ley:7:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2025_der.pdf,137
141624,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2024_corr.pdf,Documento pdf vinculado a iniciativa congreso:ley:8:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2024_corr.pdf,138
141625,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2025_conv.pdf,Documento pdf vinculado a iniciativa congreso:ley:8:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2025_conv.pdf,138
141626,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2024_derog.pdf,Documento pdf vinculado a iniciativa congreso:ley:9:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2024_derog.pdf,139
141627,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2025_conv.pdf,Documento pdf vinculado a iniciativa congreso:ley:9:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2025_conv.pdf,138
141628,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2024_derog.pdf,Documento pdf vinculado a iniciativa congreso:ley:10:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2024_derog.pdf,140
141629,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2025_conv.pdf,Documento pdf vinculado a iniciativa congreso:ley:10:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2025_conv.pdf,139
141630,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_011_2024.pdf,Documento pdf vinculado a iniciativa congreso:ley:11:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_011_2024.pdf,134
141631,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_011_2025_conv.pdf,Documento pdf vinculado a iniciativa congreso:ley:11:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_011_2025_conv.pdf,139
141632,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_012_2025.pdf,Documento pdf vinculado a iniciativa congreso:ley:12:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_012_2025.pdf,134
141633,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_014_2025.pdf,Documento pdf vinculado a iniciativa congreso:ley:14:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_014_2025.pdf,134
141634,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_015_2025_conv.pdf,Documento pdf vinculado a iniciativa congreso:ley:15:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_015_2025_conv.pdf,139
141635,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-16-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000016/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-16-1.PDF,150
141636,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-16-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000016/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-16-2.PDF,150
141637,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000018/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-1.PDF,150
141638,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000018/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-2.PDF,150
141639,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000020/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-1.PDF,150
141640,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000020/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-2.PDF,150
141641,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-23-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000023/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-23-1.PDF,150
141642,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-23-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000023/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-23-2.PDF,150
141643,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-30-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000030/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-30-1.PDF,150
141644,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-30-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000030/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-30-2.PDF,150
141645,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-120-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000108/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-120-1.PDF,151
141646,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-120-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000108/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-120-2.PDF,151
141647,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-128-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000114/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-128-1.PDF,151
141648,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-128-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000114/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-128-2.PDF,151
141649,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-139-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000124/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-139-1.PDF,151
141650,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-139-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000124/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-139-2.PDF,151
141651,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-140-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000125/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-140-1.PDF,151
141652,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-140-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000125/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-140-2.PDF,151
141653,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-141-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000126/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-141-1.PDF,151
141654,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-141-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000126/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-141-2.PDF,151
141655,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-147-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000130/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-147-1.PDF,151
141656,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-147-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000130/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-147-2.PDF,151
141657,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-148-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000131/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-148-1.PDF,151
141658,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-148-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000131/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-148-2.PDF,151
141659,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-149-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000132/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-149-1.PDF,151
141660,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-149-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000132/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-149-2.PDF,151
141661,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-151-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000133/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-151-1.PDF,151
141662,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-151-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000133/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-151-2.PDF,151
141663,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-155-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000137/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-155-1.PDF,151
141664,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-155-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000137/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-155-2.PDF,151
141665,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-157-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000139/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-157-1.PDF,151
141666,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-157-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000139/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-157-2.PDF,151
141667,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-162-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000143/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-162-1.PDF,151
141668,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-162-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000143/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-162-2.PDF,151
141669,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-182-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000159/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-182-1.PDF,151
141670,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-182-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000159/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-182-2.PDF,151
141671,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-187-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000163/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-187-1.PDF,151
141672,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-187-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000163/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-187-2.PDF,151
141673,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-188-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000164/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-188-1.PDF,151
141674,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-188-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000164/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-188-2.PDF,151
141675,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-201-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000175/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-201-1.PDF,151
141676,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-201-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000175/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-201-2.PDF,151
141677,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-202-1.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000176/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-202-1.PDF,151
141678,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-202-2.PDF,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000176/0000 en https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-202-2.PDF,151
