batch_id,doc_url,worker_id,quote_1,quote_2,summary_1to3_sentences
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-1-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000001/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-1-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000001/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-10-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000010/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-10-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000010/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-12-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000012/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-12-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000012/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-13-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000013/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-13-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000013/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-14-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000014/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-14-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000014/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-15-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000015/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-15-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000015/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-4-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000004/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-4-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000004/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-5-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000005/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-5-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000005/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-6-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000006/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-6-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000006/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-9-1.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000009/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/BOCG/A/BOCG-15-A-9-1.PDF,Documento de iniciativa congreso:leg15:exp:121/000009/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/CO/DSCD-15-CO-142.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000006/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/DS/CO/DSCD-15-CO-142.PDF,Documento de iniciativa congreso:leg15:exp:121/000006/0000 con contenido pendiente de codificacion detallada.
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-105.PDF,w1,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000012/0000 en https://www.congreso.es/public_oficiales/L15/,CONG/DS/PL/DSCD-15-PL-105.PDF,Documento de iniciativa congreso:leg15:exp:121/000012/0000 con contenido pendiente de codificacion detallada.
