code,status,detail
D_1NBEG472,error,"La serie D_1NBEG472 no existe"
D_1NBEH472,error,"La serie D_1NBEH472 no existe"
D_1NBEI472,error,"La serie D_1NBEI472 no existe"
D_1NBEJ472,error,"La serie D_1NBEJ472 no existe"
D_1NBEK472,error,"La serie D_1NBEK472 no existe"
D_1NBEL472,error,"La serie D_1NBEL472 no existe"
D_1NBEM472,error,"La serie D_1NBEM472 no existe"
D_1NBEN472,error,"La serie D_1NBEN472 no existe"
D_1NBEO472,error,"La serie D_1NBEO472 no existe"
D_1NBEP472,error,"La serie D_1NBEP472 no existe"
D_1NBEQ472,error,"La serie D_1NBEQ472 no existe"
D_1NBER472,error,"La serie D_1NBER472 no existe"
D_1NBES472,error,"La serie D_1NBES472 no existe"
D_1NBET472,error,"La serie D_1NBET472 no existe"
D_1NBEU472,error,"La serie D_1NBEU472 no existe"
D_1NBEV472,error,"La serie D_1NBEV472 no existe"
D_1NBEW472,error,"La serie D_1NBEW472 no existe"
D_1NBEX472,error,"La serie D_1NBEX472 no existe"
D_1NBEY472,error,"La serie D_1NBEY472 no existe"
D_1NBEZ472,error,"La serie D_1NBEZ472 no existe"
D_1NBFA472,error,"La serie D_1NBFA472 no existe"
D_1NBFB472,error,"La serie D_1NBFB472 no existe"
D_1NBFC472,error,"La serie D_1NBFC472 no existe"
D_1NBFD472,error,"La serie D_1NBFD472 no existe"
D_1NBFE472,error,"La serie D_1NBFE472 no existe"
D_1NBFF472,error,"La serie D_1NBFF472 no existe"
D_1NBFG472,error,"La serie D_1NBFG472 no existe"
D_1NBFH472,error,"La serie D_1NBFH472 no existe"
D_1NBFI472,error,"La serie D_1NBFI472 no existe"
D_1NBFJ472,error,"La serie D_1NBFJ472 no existe"
D_1NBFK472,error,"La serie D_1NBFK472 no existe"
D_1NBFL472,error,"La serie D_1NBFL472 no existe"
D_1NBFM472,error,"La serie D_1NBFM472 no existe"
D_1NBFN472,error,"La serie D_1NBFN472 no existe"
D_1NBFO472,error,"La serie D_1NBFO472 no existe"
D_1NBFP472,error,"La serie D_1NBFP472 no existe"
D_1NBFQ472,error,"La serie D_1NBFQ472 no existe"
D_1NBFR472,error,"La serie D_1NBFR472 no existe"
D_1NBFS472,error,"La serie D_1NBFS472 no existe"
D_1NBFT472,error,"La serie D_1NBFT472 no existe"
D_1NBFU472,error,"La serie D_1NBFU472 no existe"
D_1NBFV472,error,"La serie D_1NBFV472 no existe"
D_1NBFW472,error,"La serie D_1NBFW472 no existe"
D_1NBFX472,error,"La serie D_1NBFX472 no existe"
D_1NBFY472,error,"La serie D_1NBFY472 no existe"
D_1NBFZ472,error,"La serie D_1NBFZ472 no existe"
