code,status,detail
D_1NBAA572,ok,"list"
D_1NBAB572,error,"La serie D_1NBAB572 no existe"
D_1NBAC572,ok,"list"
D_1NBAD572,ok,"list"
D_1NBAE572,ok,"list"
D_1NBAF572,ok,"list"
D_1NBAG572,error,"La serie D_1NBAG572 no existe"
D_1NBAH572,error,"La serie D_1NBAH572 no existe"
D_1NBAI572,error,"La serie D_1NBAI572 no existe"
D_1NBAJ572,error,"La serie D_1NBAJ572 no existe"
D_1NBAK572,error,"La serie D_1NBAK572 no existe"
D_1NBAL572,error,"La serie D_1NBAL572 no existe"
D_1NBAM572,error,"La serie D_1NBAM572 no existe"
D_1NBAN572,error,"La serie D_1NBAN572 no existe"
D_1NBAO572,error,"La serie D_1NBAO572 no existe"
D_1NBAP572,error,"La serie D_1NBAP572 no existe"
D_1NBAQ572,error,"La serie D_1NBAQ572 no existe"
D_1NBAR572,error,"La serie D_1NBAR572 no existe"
D_1NBAS572,ok,"list"
D_1NBAT572,error,"La serie D_1NBAT572 no existe"
D_1NBAU572,error,"La serie D_1NBAU572 no existe"
D_1NBAV572,error,"La serie D_1NBAV572 no existe"
D_1NBAW572,error,"La serie D_1NBAW572 no existe"
D_1NBAX572,error,"La serie D_1NBAX572 no existe"
D_1NBAY572,error,"La serie D_1NBAY572 no existe"
D_1NBAZ572,error,"La serie D_1NBAZ572 no existe"
D_1NBBA572,error,"La serie D_1NBBA572 no existe"
D_1NBBB572,error,"La serie D_1NBBB572 no existe"
D_1NBBC572,error,"La serie D_1NBBC572 no existe"
D_1NBBD572,error,"La serie D_1NBBD572 no existe"
D_1NBBE572,error,"La serie D_1NBBE572 no existe"
D_1NBBF572,error,"La serie D_1NBBF572 no existe"
D_1NBBG572,error,"La serie D_1NBBG572 no existe"
D_1NBBH572,error,"La serie D_1NBBH572 no existe"
D_1NBBI572,error,"La serie D_1NBBI572 no existe"
D_1NBBJ572,error,"La serie D_1NBBJ572 no existe"
D_1NBBK572,error,"La serie D_1NBBK572 no existe"
D_1NBBL572,error,"La serie D_1NBBL572 no existe"
D_1NBBM572,error,"La serie D_1NBBM572 no existe"
D_1NBBN572,error,"La serie D_1NBBN572 no existe"
D_1NBBO572,ok,"list"
D_1NBBP572,ok,"list"
D_1NBBQ572,error,"La serie D_1NBBQ572 no existe"
D_1NBBR572,error,"La serie D_1NBBR572 no existe"
D_1NBBS572,error,"La serie D_1NBBS572 no existe"
D_1NBBT572,error,"La serie D_1NBBT572 no existe"
D_1NBBU572,error,"La serie D_1NBBU572 no existe"
D_1NBBV572,error,"La serie D_1NBBV572 no existe"
D_1NBBW572,error,"La serie D_1NBBW572 no existe"
D_1NBBX572,error,"La serie D_1NBBX572 no existe"
D_1NBBY572,error,"La serie D_1NBBY572 no existe"
D_1NBBZ572,error,"La serie D_1NBBZ572 no existe"
D_1NBCA572,error,"La serie D_1NBCA572 no existe"
D_1NBCB572,error,"La serie D_1NBCB572 no existe"
D_1NBCC572,error,"La serie D_1NBCC572 no existe"
D_1NBCD572,error,"La serie D_1NBCD572 no existe"
D_1NBCE572,error,"La serie D_1NBCE572 no existe"
D_1NBCF572,error,"La serie D_1NBCF572 no existe"
D_1NBCG572,error,"La serie D_1NBCG572 no existe"
D_1NBCH572,error,"La serie D_1NBCH572 no existe"
D_1NBCI572,error,"La serie D_1NBCI572 no existe"
D_1NBCJ572,error,"La serie D_1NBCJ572 no existe"
D_1NBCK572,error,"La serie D_1NBCK572 no existe"
D_1NBCL572,error,"La serie D_1NBCL572 no existe"
D_1NBCM572,error,"La serie D_1NBCM572 no existe"
D_1NBCN572,error,"La serie D_1NBCN572 no existe"
D_1NBCO572,error,"La serie D_1NBCO572 no existe"
D_1NBCP572,error,"La serie D_1NBCP572 no existe"
D_1NBCQ572,error,"La serie D_1NBCQ572 no existe"
D_1NBCR572,error,"La serie D_1NBCR572 no existe"
D_1NBCS572,error,"La serie D_1NBCS572 no existe"
D_1NBCT572,error,"La serie D_1NBCT572 no existe"
D_1NBCU572,error,"La serie D_1NBCU572 no existe"
D_1NBCV572,error,"La serie D_1NBCV572 no existe"
D_1NBCW572,error,"La serie D_1NBCW572 no existe"
D_1NBCX572,error,"La serie D_1NBCX572 no existe"
D_1NBCY572,error,"La serie D_1NBCY572 no existe"
D_1NBCZ572,error,"La serie D_1NBCZ572 no existe"
D_1NBDA572,error,"La serie D_1NBDA572 no existe"
D_1NBDB572,error,"La serie D_1NBDB572 no existe"
D_1NBDC572,error,"La serie D_1NBDC572 no existe"
D_1NBDD572,error,"La serie D_1NBDD572 no existe"
D_1NBDE572,error,"La serie D_1NBDE572 no existe"
D_1NBDF572,error,"La serie D_1NBDF572 no existe"
D_1NBDG572,error,"La serie D_1NBDG572 no existe"
D_1NBDH572,error,"La serie D_1NBDH572 no existe"
D_1NBDI572,error,"La serie D_1NBDI572 no existe"
D_1NBDJ572,error,"La serie D_1NBDJ572 no existe"
D_1NBDK572,error,"La serie D_1NBDK572 no existe"
D_1NBDL572,error,"La serie D_1NBDL572 no existe"
D_1NBDM572,error,"La serie D_1NBDM572 no existe"
D_1NBDN572,error,"La serie D_1NBDN572 no existe"
D_1NBDO572,error,"La serie D_1NBDO572 no existe"
D_1NBDP572,error,"La serie D_1NBDP572 no existe"
D_1NBDQ572,error,"La serie D_1NBDQ572 no existe"
D_1NBDR572,error,"La serie D_1NBDR572 no existe"
D_1NBDS572,error,"La serie D_1NBDS572 no existe"
D_1NBDT572,error,"La serie D_1NBDT572 no existe"
D_1NBDU572,error,"La serie D_1NBDU572 no existe"
D_1NBDV572,error,"La serie D_1NBDV572 no existe"
D_1NBDW572,error,"La serie D_1NBDW572 no existe"
D_1NBDX572,error,"La serie D_1NBDX572 no existe"
D_1NBDY572,error,"La serie D_1NBDY572 no existe"
D_1NBDZ572,error,"La serie D_1NBDZ572 no existe"
D_1NBEA572,error,"La serie D_1NBEA572 no existe"
D_1NBEB572,error,"La serie D_1NBEB572 no existe"
D_1NBEC572,error,"La serie D_1NBEC572 no existe"
D_1NBED572,error,"La serie D_1NBED572 no existe"
D_1NBEE572,error,"La serie D_1NBEE572 no existe"
D_1NBEF572,error,"La serie D_1NBEF572 no existe"
D_1NBEG572,error,"La serie D_1NBEG572 no existe"
D_1NBEH572,error,"La serie D_1NBEH572 no existe"
D_1NBEI572,error,"La serie D_1NBEI572 no existe"
D_1NBEJ572,error,"La serie D_1NBEJ572 no existe"
D_1NBEK572,error,"La serie D_1NBEK572 no existe"
D_1NBEL572,error,"La serie D_1NBEL572 no existe"
D_1NBEM572,error,"La serie D_1NBEM572 no existe"
D_1NBEN572,error,"La serie D_1NBEN572 no existe"
D_1NBEO572,error,"La serie D_1NBEO572 no existe"
D_1NBEP572,error,"La serie D_1NBEP572 no existe"
D_1NBEQ572,error,"La serie D_1NBEQ572 no existe"
D_1NBER572,error,"La serie D_1NBER572 no existe"
D_1NBES572,error,"La serie D_1NBES572 no existe"
D_1NBET572,error,"La serie D_1NBET572 no existe"
D_1NBEU572,error,"La serie D_1NBEU572 no existe"
D_1NBEV572,error,"La serie D_1NBEV572 no existe"
D_1NBEW572,error,"La serie D_1NBEW572 no existe"
D_1NBEX572,error,"La serie D_1NBEX572 no existe"
D_1NBEY572,error,"La serie D_1NBEY572 no existe"
D_1NBEZ572,error,"La serie D_1NBEZ572 no existe"
D_1NBFA572,error,"La serie D_1NBFA572 no existe"
D_1NBFB572,error,"La serie D_1NBFB572 no existe"
D_1NBFC572,error,"La serie D_1NBFC572 no existe"
D_1NBFD572,error,"La serie D_1NBFD572 no existe"
D_1NBFE572,error,"La serie D_1NBFE572 no existe"
