batch_id,unit_type,unit_id,title,excerpt,source_url,allowed_concerns_json
factory-20260219-lane_d-001,parl_initiative_doc,141601,Iniciativa congreso:leg15:exp:121/000012/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000012/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-105.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-105.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141602,Iniciativa congreso:leg15:exp:121/000005/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000005/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141602,Iniciativa congreso:leg15:exp:122/000016/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000016/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141602,Iniciativa congreso:leg15:exp:122/000018/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:122/000018/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-23.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141603,Iniciativa congreso:leg15:exp:121/000001/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000001/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-25.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-25.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141604,Iniciativa congreso:leg15:exp:121/000004/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000004/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-31.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-31.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141605,Iniciativa congreso:leg15:exp:121/000010/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000010/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141605,Iniciativa congreso:leg15:exp:121/000014/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000014/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141605,Iniciativa congreso:leg15:exp:121/000015/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000015/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-42.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141606,Iniciativa congreso:leg15:exp:121/000013/0000,Documento pdf vinculado a iniciativa congreso:leg15:exp:121/000013/0000 en https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-48.PDF,https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-48.PDF,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
