row_id	source_id	mode	status	exit_code	started_at	finished_at	stdout_log	stderr_log	run_snapshot_csv	source_records_snapshot_csv	note
placsp_autonomico__strict-network	placsp_autonomico	strict-network	error	1	2026-02-17T10:29:05Z	2026-02-17T10:29:11Z	docs/etl/sprints/AI-OPS-10/evidence/placsp-strict/logs/placsp_autonomico__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/placsp-strict/logs/placsp_autonomico__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/placsp-strict/sql/placsp_autonomico__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/placsp-strict/sql/placsp_autonomico__strict-network_source_records_snapshot.csv	command_exit=1; tail=urllib.error.URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)> 
placsp_sindicacion__strict-network	placsp_sindicacion	strict-network	error	1	2026-02-17T10:29:05Z	2026-02-17T10:29:11Z	docs/etl/sprints/AI-OPS-10/evidence/placsp-strict/logs/placsp_sindicacion__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/placsp-strict/logs/placsp_sindicacion__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/placsp-strict/sql/placsp_sindicacion__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/placsp-strict/sql/placsp_sindicacion__strict-network_source_records_snapshot.csv	command_exit=1; tail=urllib.error.URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)> 
