source_id,policy_event_id,event_date,published_date,boe_derived_date,title,summary,source_url
moncloa_referencias,moncloa:moncloa_referencias:referencia:20251209-referencia-rueda-de-prensa-ministros.aspx,2025-12-09,2025-12-09,,Referencia del Consejo de Ministros,"El Consejo de Ministros ha aprobado un acuerdo por el que se autoriza un crédito extraordinario vinculado al Mecanismo de Recuperación y Resiliencia (MRR) en el Centro Español de Metrología, por un importe de 8.417.335,74 euros, en cumplimiento del artículo 37.3 del Real Decreto-ley 36/2020, de 30 de diciembre, por el que se aprueban medidas urgentes para la modernización de la Administración Pública y para la ejecución del Plan de Recuperación, Transformación y Resiliencia.",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2025/20251209-referencia-rueda-de-prensa-ministros.aspx
moncloa_referencias,moncloa:moncloa_referencias:referencia:20251216-referencia-rueda-de-prensa-ministros.aspx,2025-12-16,2025-12-16,,Referencia del Consejo de Ministros,"El Consejo de Ministros ha autorizado una transferencia de crédito por importe de 235.275.064,67 euros al Servicio 50 del Ministerio de Economía, Comercio y Empresa, para financiar las medidas aprobadas para el Componente 32 'Apoyo a la recuperación y la resiliencia en respuesta a los desastres naturales', del Plan de Recuperación, Transformación y Resiliencia (PRTR).",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2025/20251216-referencia-rueda-de-prensa-ministros.aspx
moncloa_referencias,moncloa:moncloa_referencias:referencia:20251223-referencia-rueda-de-prensa-ministros.aspx,2025-12-23,2025-12-23,,Referencia del Consejo de Ministros,"El Consejo de Ministros ha aprobado un acuerdo por el que se establecen las obligaciones de servicio público que deberá cumplir el operador postal Correos y Telégrafos S.A. en las elecciones autonómicas convocadas para el próximo 8 de febrero de 2026 en la Comunidad Autónoma de Aragón. Para el normal desarrollo de este proceso electoral, el operador postal Correos deberá hacer frente a unas obligaciones previstas en la Ley Orgánica 5/1985, de 19 de junio, de Régimen Electoral General, y que son las siguientes:",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2025/20251223-referencia-rueda-de-prensa-ministros.aspx
moncloa_referencias,moncloa:moncloa_referencias:referencia:20260107-referencia-rueda-de-prensa-ministros.aspx,2026-01-07,2026-01-07,,Referencia Consejo de Ministros,"El Consejo de Ministros ha autorizado a Galicia a formalizar operaciones de endeudamiento a largo plazo por un importe máximo de 1.728,5 millones de euros.",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260107-referencia-rueda-de-prensa-ministros.aspx
moncloa_referencias,moncloa:moncloa_referencias:referencia:20260113-referencia-rueda-de-prensa-ministros.aspx,2026-01-13,2026-01-13,,Referencia Consejo de Ministros,"El Consejo de Ministros ha aprobado el Acuerdo por el que se dispone la remisión a las Cortes Generales del Acuerdo entre la Unión Europea y la Comunidad Europea de la Energía Atómica, por una parte, y el Reino de España, por otra, relativo al establecimiento del Centro Común de Investigación de la Comisión Europea en Sevilla y se autorice la manifestación del consentimiento de España para obligarse por el mencionado Acuerdo.",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260113-referencia-rueda-de-prensa-ministros.aspx
moncloa_referencias,moncloa:moncloa_referencias:referencia:20260120-referencia-rueda-de-prensa-ministros.aspx,2026-01-20,2026-01-20,,Referencia del Consejo de Ministros,"El Consejo de Ministros ha aprobado un acuerdo por el que se modifican los límites para adquirir compromisos de gasto con cargo a ejercicios futuros en aplicación de lo dispuesto en el artículo 47 de la Ley 47/2003, de 26 de noviembre, General Presupuestaria, para posibilitar al Ministerio de Igualdad la tramitación de diversos expedientes de gasto relativos al Capítulo 6 de 'Inversiones reales' correspondientes al programa 'Actuaciones para la prevención integral de la violencia de género'.",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260120-referencia-rueda-de-prensa-ministros.aspx
moncloa_referencias,moncloa:moncloa_referencias:referencia:20260127-referencia-rueda-de-prensa-ministros.aspx,2026-01-27,2026-01-27,,Referencia Consejo de Ministros,"El Consejo de Ministros ha aprobado el Acuerdo por el que se dispone la remisión a las Cortes Generales del Acuerdo entre el Reino de España y el Sultanato de Omán sobre exención recíproca de visados para titulares de pasaportes diplomáticos, especiales y de servicio y se autoriza la manifestación del consentimiento de España para obligarse por dicho Acuerdo.",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260127-referencia-rueda-de-prensa-ministros.aspx
moncloa_referencias,moncloa:moncloa_referencias:referencia:20260203-referencia-rueda-de-prensa-ministros.aspx,2026-02-03,2026-02-03,,Referencia Consejo de Ministros,"El Consejo de Ministros ha autorizado a varias comunidades autónomas a formalizar operaciones de endeudamiento a largo plazo. En concreto, se autoriza a Asturias por un importe máximo de 639,2 millones de euros y a Cantabria por un máximo de 35 millones.",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260203-referencia-rueda-de-prensa-ministros.aspx
moncloa_referencias,moncloa:moncloa_referencias:referencia:20260210-referencia-rueda-de-prensa-ministros.aspx,2026-02-10,2026-02-10,,Referencia Consejo de Ministros,"Este acuerdo autoriza a esta comunidad autónoma a formalizar operaciones de deuda a largo plazo para financiar, por un lado, las necesidades no cubiertas por el Fondo de Financiación a Comunidades Autónomas conforme a su Plan Plurianual de Endeudamiento, por un importe máximo de 493.710.940 euros.",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260210-referencia-rueda-de-prensa-ministros.aspx
moncloa_rss_referencias,moncloa:moncloa_rss_referencias:tipo15:030226-rueda-de-prensa-ministros.aspx,,2026-02-03,,El Gobierno aprueba la revalorización de las pensiones y medidas del escudo social para 2026,"La Moncloa, Madrid, martes 3 de febrero de 2026 El Ejecutivo incrementa las pensiones contributivas un 2,7% y prorroga iniciativas en materia de vivienda y energía para proteger a colectivos vulnerables. Además, refuerza la coordinación frente a la DANA y constata los avances en la reubicación de los menores extranjeros no acompañados. Referencia del Consejo de Ministros",https://www.lamoncloa.gob.es/consejodeministros/resumenes/paginas/2026/030226-rueda-de-prensa-ministros.aspx
