party_id,party_name,election_cycle,old_source_url,new_source_url
18,EAJ-PNV,es_generales_2023,https://www.eaj-pnv.eus/,https://www.eaj-pnv.eus/documentos
22,EH Bildu,es_generales_2023,https://ehbildu.eus/dokumentuak/gardentasuna/2024_PyG.pdf,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf
73,UPN,es_generales_2023,https://www.upn.org/,https://www.upn.org/propuestas
347,CCa,es_generales_2023,https://coalicioncanaria.org/,https://coalicioncanaria.org/programas-electorales/
7628,Izquierda Unida,es_generales_2023,https://izquierdaunida.org/,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/
67790,PSC,es_generales_2023,https://www.socialistes.cat/,https://www.socialistes.cat/programa
18,EAJ-PNV,es_europeas_2024,https://www.eaj-pnv.eus/,https://www.eaj-pnv.eus/documentos
22,EH Bildu,es_europeas_2024,https://ehbildu.eus/dokumentuak/gardentasuna/2024_PyG.pdf,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf
73,UPN,es_europeas_2024,https://www.upn.org/,https://www.upn.org/propuestas
347,CCa,es_europeas_2024,https://coalicioncanaria.org/,https://coalicioncanaria.org/programas-electorales/
7628,Izquierda Unida,es_europeas_2024,https://izquierdaunida.org/,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/
67790,PSC,es_europeas_2024,https://www.socialistes.cat/,https://www.socialistes.cat/programa
18,EAJ-PNV,es_autonomicas_2023,https://www.eaj-pnv.eus/,https://www.eaj-pnv.eus/documentos
22,EH Bildu,es_autonomicas_2023,https://ehbildu.eus/dokumentuak/gardentasuna/2024_PyG.pdf,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf
73,UPN,es_autonomicas_2023,https://www.upn.org/,https://www.upn.org/propuestas
347,CCa,es_autonomicas_2023,https://coalicioncanaria.org/,https://coalicioncanaria.org/programas-electorales/
7628,Izquierda Unida,es_autonomicas_2023,https://izquierdaunida.org/,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/
67790,PSC,es_autonomicas_2023,https://www.socialistes.cat/,https://www.socialistes.cat/programa
22,EH Bildu,es_autonomicas_2023,https://ehbildu.eus/dokumentuak/gardentasuna/2024_PyG.pdf,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf
