link_key,fragment_id,norm_id,boe_id,norm_title,fragment_label,delegating_actor_label,delegated_institution_label,designated_role_title,designated_actor_label,appointment_start_date,appointment_end_date,enforcement_action_label,enforcement_evidence_date,chain_confidence,source_url,reasons
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,Regimen sancionador tributario (reglamento),Bloque procedimental y de graduacion,Ministerio de Hacienda,AEAT,Unidad procedimental sancionadora,,2024-01-01,,Graduacion y tramitacion procedimental,,0.59,https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,missing_designated_actor|missing_enforcement_evidence_date
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,Reglamento del procedimiento sancionador en materia de trafico,Bloque procedimental sancionador,Ministerio competente en trafico,DGT,Subdireccion de Gestion de Sanciones,Unidad sancionadora DGT,2024-01-01,,Gestion procedimental de expedientes sancionadores,2025-12-31,0.78,https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,institutional_designated_actor
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,Ley General Tributaria,Bloque de infracciones tributarias,Ministerio de Hacienda,AEAT,Direccion General de la AEAT,Agencia Estatal de Administracion Tributaria,2024-01-01,,Instruccion y resolucion de infracciones tributarias,2025-12-31,0.81,https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,institutional_designated_actor
