link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,query,query_variant,search_url,candidate_rank,candidate_score,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_department,candidate_title,candidate_person_hint,match_institution,match_role
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,nombramiento Delegacion Especial Agencia Estatal de Administración Tributaria,1,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Delegacion%20Especial%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,1,49,BOE-A-2007-12769,https://www.boe.es/buscar/doc.php?id=BOE-A-2007-12769,30/06/2007,Ministerio de Economía y Hacienda,"Resolución de 21 de junio de 2007, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Ejecutivo de la Delegación Especial de Andalucía, Ceuta y Melilla de don José Alberto García Valera.",José Alberto García Valera,1,1
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,nombramiento Delegacion Especial Agencia Estatal de Administración Tributaria,1,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Delegacion%20Especial%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,2,48,BOE-A-2006-2465,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-2465,14/02/2006,Ministerio de Economía y Hacienda,"Resolución de 8 de febrero de 2006, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Jesús Manuel Andradas Heranz, como Delegado de Planificación y Control de la Delegación Especial de la Agencia Estatal de Administración Tributaria de Madrid.",Jesús Manuel Andradas Heranz,1,1
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,nombramiento Delegacion Especial Agencia Estatal de Administración Tributaria,1,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Delegacion%20Especial%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,3,47,BOE-A-2004-9367,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9367,20/05/2004,Ministerio de Economía y Hacienda,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Especial Adjunto Ejecutivo en la Delegación Especial de la Agencia Estatal de Administración Tributaria en Madrid de don Manuel Trillo Álvarez.",Manuel Trillo Álvarez,1,1
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,nombramiento Delegacion Especial Agencia Estatal de Administración Tributaria,1,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Delegacion%20Especial%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,4,46,BOE-A-2000-9987,https://www.boe.es/buscar/doc.php?id=BOE-A-2000-9987,30/05/2000,Ministerio de Hacienda,"Resolución de 22 de mayo de 2000, de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Manuel Trigo Portela como Delegado especial adjunto de Planificación y Control en la Delegación Especial de la Agencia Estatal de Administración Tributaria en Madrid.",Manuel Trigo Portela,1,1
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,nombramiento Delegacion Especial Agencia Estatal de Administración Tributaria,1,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Delegacion%20Especial%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,5,45,BOE-A-1999-7873,https://www.boe.es/buscar/doc.php?id=BOE-A-1999-7873,08/04/1999,Ministerio de Economía y Hacienda,"Resolución de 18 de marzo de 1999, de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Eduardo Córdoba Ocaña como Delegado especial adjunto ejecutivo en la Delegación Especial de la Agencia Estatal de Administración Tributaria en Madrid.",Eduardo Córdoba Ocaña,1,1
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,AEAT,Direccion General de la AEAT,nombramiento Agencia Estatal de Administración Tributaria,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,1,29,BOE-A-2024-12397,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12397,19/06/2024,Ministerio de Hacienda,"Resolución de 12 de junio de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se renueva el nombramiento de vocales de la Comisión Consultiva de Ética.",,1,0
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,AEAT,Direccion General de la AEAT,nombramiento Agencia Estatal de Administración Tributaria,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,2,28,BOE-A-2010-5072,https://www.boe.es/buscar/doc.php?id=BOE-A-2010-5072,27/03/2010,Ministerio de Economía y Hacienda,"Resolución de 17 de marzo de 2010, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se delega el ejercicio de las competencias para el nombramiento y cese de los representantes de la Agencia Estatal de Administración Tributaria en las Comisiones o grupos de trabajo del Consejo Superior para la Dirección y Coordinación de la Gestión Tributaria, así como para el nombramiento y cese de los representantes y sus sustitutos de la Agencia en los Consejos Territoriales para la Dirección y Coordinación de la Gestión Tributaria.",,1,0
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,AEAT,Direccion General de la AEAT,nombramiento Agencia Estatal de Administración Tributaria,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,3,27,BOE-A-2008-9974,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9974,11/06/2008,Ministerio de Economía y Hacienda,"Resolución de 10 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Director del Servicio de Auditoría Interna de la Agencia Estatal de Administración Tributaria, de don Tomás Merola Macanás.",Tomás Merola Macanás,1,0
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,AEAT,Direccion General de la AEAT,nombramiento Agencia Estatal de Administración Tributaria,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,4,26,BOE-A-2008-9782,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9782,06/06/2008,Ministerio de Economía y Hacienda,"Resolución de 4 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Especial de la Agencia Estatal de Administración Tributaria de Galicia de don Luis Antonio Pazos Franco.",Luis Antonio Pazos Franco,1,0
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,AEAT,Direccion General de la AEAT,nombramiento Agencia Estatal de Administración Tributaria,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Agencia%20Estatal%20de%20Administraci%C3%B3n%20Tributaria&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,5,25,BOE-A-2008-8196,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-8196,09/05/2008,Ministerio de Economía y Hacienda,"Resolución de 29 de abril de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Secretario Técnico Permanente de la Comisión Mixta de Coordinación de la Gestión Tributaria y Director Adjunto del Departamento de Organización, Planificación y Relaciones Institucionales de don Gaspar Caballo Mingo.",Gaspar Caballo Mingo,1,0
