party_name,source_url,excerpt
BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,"paxina 25 4 a defensa dos dereitos das persoas lgbt paxina 27 5 na defensa da democracia e das liberdades publicas paxina 31 6 por uns servizos publicos de calidade a educacion b sanidade paxina 39 7 economia ao servizo das maiorias sociais a por unha nova fiscalidade b crise industrial c agro e pesca d ciencia e innov"
BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,"ualdade real paxina 25 4 a defensa dos dereitos das persoas lgbt paxina 27 5 na defensa da democracia e das liberdades publicas paxina 31 6 por uns servizos publicos de calidade a educacion b sanidade paxina 39 7 economia ao servizo das maiorias sociais a por unha nova fiscalidade b crise industrial c agro e pesca d ci"
BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,"rciais ou insuficientes que fosen que inicialmente o psoe se negaba a adoptar ou cualificaba de imposibeis entre elas medidas para o control da escalada de prezos especialmente na electricidade e carburantes na aplicacion de impostos a banca as enerxeticas e as grandes fortunas ou mesmo moitas das axudas aos sectores a"
BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,"a laboral do pp non derrogada na sua totalidade e so moi parcialmente modificada os novos recortes en pensions a escalada belicista e o aumento do gasto militar ou a proteccion da corrupcion da monarquia o psoe votou reiteradamente con pp e vox para rexeitar as comisions de investigacion que propuxemos o bng e outras f"
BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,"das persoas que o precisen e soliciten e limitar as consultas telefonicas ou telematicas a actividades complementarias recuperacion das xerencias de atencion primaria con capacidade de decision resolutiva e orzamentaria incrementar a capacidade diagnostica e de acceso a tecnoloxia de atencion primaria permitir solicita"
BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,"ions de territorio produtor de electricidade reformar o bono social do estado aumentando a sua cobertura e considerando as condicions habitacionais e climaticas de galiza prohibir permanentemente os cortes de luz auga e gas as familias e coletivos socialmente vulnerabeis e impulsar de xeito efeitivo o autoconsumo e a e"
BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,"o seu caso con base en criterios de obxectividade evitando a arbitrariedade existente actualmente ligada a unha forma especifica de clientelismo que constitue de facto un xeito de corrupcion os organos administrativos encargados da concesion das axudas elaboraran informes anuais con toda a informacion relevante dos eix"
BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,"o a capacidade de decision do pobo galego avanzando no noso reconecemento como nacion e no noso autogoberno 3 coidar as persoas especialmente a quen mais o precisa reducindo as desigualdades asi como fortalecendo e ampliando os servizos publicos esenciais 4 coidar o territorio e o planeta a traves dun pais mais ordenad"
BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,"populares e traballadoras asi o aumento continuado das taxas de xuro por parte do bce do 0 en 2012 ao 45 actual un tipo nunca visto desde o ano 2001 provocaron o aumento das cotas hipotecarias afogando familias e tecido produtivo mentres as entidades financeiras atinxian record de lucros a ue non quixo despregar ningun"
BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,"ses das grandes transnacionais que exercen un forte poder lobistico sobre o seu deseno como esta a acontecer na galiza cos macroproxectos de enerxia eolica terrestre e marina ao amparo de politicas europeas que non tenen en conta a nosa especificidade ou coa megacelulosa proxectada pola empresa greenfiber altri greenal"
