party_name,source_url,pre_evidence_rows,post_evidence_rows,delta_evidence_rows,pre_support_rows,post_support_rows,delta_support_rows,pre_unclear_rows,post_unclear_rows,delta_unclear_rows,pre_support_ratio,post_support_ratio,delta_support_ratio
BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,12,12,0,8,8,0,4,4,0,0.6667,0.6667,0.0000
BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,12,12,0,6,8,2,6,4,-2,0.5000,0.6667,0.1667
BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,24,24,0,4,4,0,20,20,0,0.1667,0.1667,0.0000
VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,33,33,0,12,16,4,21,17,-4,0.3636,0.4848,0.1212
