link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,reasons_csv,candidate_rank_for_link,candidate_score,candidate_relevance_bucket,autofill_confidence,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_publication_date_iso,candidate_department,candidate_title,candidate_person_hint,role_token_overlap,institution_token_overlap,institution_overlap_min,institution_overlap_ok,suggested_reviewed_designated_actor_label,suggested_reviewed_enforcement_evidence_date,suggested_reviewed_source_url,suggested_reviewed_evidence_quote,recommended_action,review_status,review_note
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,1,29,medium,medium,BOE-A-2024-12397,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12397,19/06/2024,2024-06-19,Ministerio de Hacienda,"Resolución de 12 de junio de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se renueva el nombramiento de vocales de la Comisión Consultiva de Ética.",,0,4,1,1,,2024-06-19,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12397,"Resolución de 12 de junio de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se renueva el nombramiento de vocales de la Comisión Consultiva de Ética.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,2,28,medium,medium,BOE-A-2010-5072,https://www.boe.es/buscar/doc.php?id=BOE-A-2010-5072,27/03/2010,2010-03-27,Ministerio de Economía y Hacienda,"Resolución de 17 de marzo de 2010, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se delega el ejercicio de las competencias para el nombramiento y cese de los representantes de la Agencia Estatal de Administración Tributaria en las Comisiones o grupos de trabajo del Consejo Superior para la Dirección y Coordinación de la Gestión Tributaria, así como para el nombramiento y cese de los representantes y sus sustitutos de la Agencia en los Consejos Territoriales para la Dirección y Coordinación de la Gestión Tributaria.",,0,4,1,1,,2010-03-27,https://www.boe.es/buscar/doc.php?id=BOE-A-2010-5072,"Resolución de 17 de marzo de 2010, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se delega el ejercicio de las competencias para el nombramiento y cese de los representantes de la Agencia Estatal de Administración Tributaria en las Comisiones o grupos de trabajo del Consejo Superior para la Dirección y Coordinación de la Gestión Tributaria, así como para el nombramiento y cese de los representantes y sus sustitutos de la Agencia en los Consejos Territoriales para la Dirección y Coordinación de la Gestión Tributaria.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,3,27,medium,medium,BOE-A-2008-9974,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9974,11/06/2008,2008-06-11,Ministerio de Economía y Hacienda,"Resolución de 10 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Director del Servicio de Auditoría Interna de la Agencia Estatal de Administración Tributaria, de don Tomás Merola Macanás.",Tomás Merola Macanás,0,4,1,1,Tomás Merola Macanás,2008-06-11,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9974,"Resolución de 10 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Director del Servicio de Auditoría Interna de la Agencia Estatal de Administración Tributaria, de don Tomás Merola Macanás.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,4,26,medium,medium,BOE-A-2008-9782,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9782,06/06/2008,2008-06-06,Ministerio de Economía y Hacienda,"Resolución de 4 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Especial de la Agencia Estatal de Administración Tributaria de Galicia de don Luis Antonio Pazos Franco.",Luis Antonio Pazos Franco,0,4,1,1,Luis Antonio Pazos Franco,2008-06-06,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9782,"Resolución de 4 de junio de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Especial de la Agencia Estatal de Administración Tributaria de Galicia de don Luis Antonio Pazos Franco.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,5,25,medium,medium,BOE-A-2008-8196,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-8196,09/05/2008,2008-05-09,Ministerio de Economía y Hacienda,"Resolución de 29 de abril de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Secretario Técnico Permanente de la Comisión Mixta de Coordinación de la Gestión Tributaria y Director Adjunto del Departamento de Organización, Planificación y Relaciones Institucionales de don Gaspar Caballo Mingo.",Gaspar Caballo Mingo,0,4,1,1,Gaspar Caballo Mingo,2008-05-09,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-8196,"Resolución de 29 de abril de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Secretario Técnico Permanente de la Comisión Mixta de Coordinación de la Gestión Tributaria y Director Adjunto del Departamento de Organización, Planificación y Relaciones Institucionales de don Gaspar Caballo Mingo.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion,es:boe-a-2004-18398,BOE-A-2004-18398,AEAT,Unidad procedimental sancionadora,missing_designated_actor|missing_enforcement_evidence_date,6,24,weak,low,BOE-A-2008-1343,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-1343,25/01/2008,2008-01-25,Ministerio de Economía y Hacienda,"Resolución de 22 de enero de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Luciano Alfonso Losada Suárez como Delegado de la Agencia Estatal de Administración Tributaria en Tarragona.",Luciano Alfonso Losada Suárez,0,4,1,1,Luciano Alfonso Losada Suárez,2008-01-25,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-1343,"Resolución de 22 de enero de 2008, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Luciano Alfonso Losada Suárez como Delegado de la Agencia Estatal de Administración Tributaria en Tarragona.",inspect_candidate,pending,
