party_id,selected_reason,selected_score,selected_url,source_url,candidates_evaluated
2,candidate_selected,11,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,https://www.pp.es/,8
14,candidate_selected,14,https://www.voxespana.es/espana/manifiesto-fundacional-vox,https://www.voxespana.es/,8
18,candidate_selected,10,https://www.eaj-pnv.eus/documentos,https://www.eaj-pnv.eus/,8
22,candidate_selected,7,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,https://ehbildu.eus/,8
29,candidate_selected,21,https://movimientosumar.es/programa,https://movimientosumar.es/,8
73,candidate_selected,7,https://www.upn.org/propuestas,https://www.upn.org/,8
276,candidate_selected,11,https://www.bng.gal/estaticas/programas-eleitorais.html,https://www.bng.gal/,8
347,candidate_selected,13,https://coalicioncanaria.org/programas-electorales/,https://coalicioncanaria.org/,8
1055,candidate_selected,38,https://www.ciudadanos-cs.org/programa-electoral,https://www.ciudadanos-cs.org/,8
4756,candidate_selected,11,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,https://foroasturias.es/,8
7628,candidate_selected,15,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,https://izquierdaunida.org/,8
18201,candidate_selected,14,https://verdesequo.es/propuestas,https://verdesequo.es/,8
61293,candidate_selected,7,https://compromis.net/programa,https://compromis.net/,8
67790,candidate_selected,7,https://www.socialistes.cat/programa,https://www.socialistes.cat/,8
68157,candidate_selected,7,https://cup.cat/programa,https://cup.cat/,8
