party_id,election_cycle,old_source_url,new_source_url
14,es_autonomicas_2023,https://www.voxespana.es/espana/manifiesto-fundacional-vox,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf
14,es_europeas_2024,https://www.voxespana.es/espana/manifiesto-fundacional-vox,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf
14,es_generales_2023,https://www.voxespana.es/espana/manifiesto-fundacional-vox,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf
18,es_autonomicas_2023,https://www.eaj-pnv.eus/documentos,https://www.eaj-pnv.eus/
18,es_europeas_2024,https://www.eaj-pnv.eus/documentos,https://www.eaj-pnv.eus/
18,es_generales_2023,https://www.eaj-pnv.eus/documentos,https://www.eaj-pnv.eus/
18201,es_autonomicas_2023,https://verdesequo.es/propuestas,https://verdesequo.es/programa
18201,es_europeas_2024,https://verdesequo.es/propuestas,https://verdesequo.es/programa
18201,es_generales_2023,https://verdesequo.es/propuestas,https://verdesequo.es/programa
22,es_autonomicas_2023,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,https://ehbildu.eus/dokumentuak/gardentasuna/2024_PyG.pdf
22,es_europeas_2024,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,https://ehbildu.eus/dokumentuak/gardentasuna/2024_PyG.pdf
22,es_generales_2023,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,https://ehbildu.eus/dokumentuak/gardentasuna/2024_PyG.pdf
276,es_autonomicas_2023,https://www.bng.gal/estaticas/programas-eleitorais.html,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf
276,es_europeas_2024,https://www.bng.gal/estaticas/programas-eleitorais.html,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf
276,es_generales_2023,https://www.bng.gal/estaticas/programas-eleitorais.html,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf
347,es_autonomicas_2023,https://coalicioncanaria.org/programas-electorales/,https://coalicioncanaria.org/
347,es_europeas_2024,https://coalicioncanaria.org/programas-electorales/,https://coalicioncanaria.org/
347,es_generales_2023,https://coalicioncanaria.org/programas-electorales/,https://coalicioncanaria.org/
61293,es_autonomicas_2023,https://compromis.net/programa,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf
61293,es_europeas_2024,https://compromis.net/programa,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf
61293,es_generales_2023,https://compromis.net/programa,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf
67790,es_autonomicas_2023,https://www.socialistes.cat/programa,https://www.socialistes.cat/
67790,es_europeas_2024,https://www.socialistes.cat/programa,https://www.socialistes.cat/
67790,es_generales_2023,https://www.socialistes.cat/programa,https://www.socialistes.cat/
73,es_autonomicas_2023,https://www.upn.org/propuestas,https://www.upn.org/
73,es_europeas_2024,https://www.upn.org/propuestas,https://www.upn.org/
73,es_generales_2023,https://www.upn.org/propuestas,https://www.upn.org/
7628,es_autonomicas_2023,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,https://izquierdaunida.org/
7628,es_europeas_2024,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,https://izquierdaunida.org/
7628,es_generales_2023,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,https://izquierdaunida.org/
