source_id,checklist_status,sql_status,runs_ok_total,max_net,max_any,last_loaded,net_fallback_fetches,result
parlamento_galicia_deputados,PARTIAL,PARTIAL,5/12,0,75,0,0/5,OK
parlamento_navarra_parlamentarios_forales,PARTIAL,PARTIAL,3/12,50,50,0,1/2,OK
bde_series_api,PARTIAL,PARTIAL,3/11,0,2,0,0/3,OK
aemet_opendata_series,PARTIAL,PARTIAL,3/12,0,2,0,0/3,OK
