row_id	source_id	mode	status	exit_code	started_at	finished_at	stdout_log	stderr_log	run_snapshot_csv	source_records_snapshot_csv	note
bdns_autonomico__strict-network	bdns_autonomico	strict-network	error	1	2026-02-17T10:33:19Z	2026-02-17T10:33:20Z	docs/etl/sprints/AI-OPS-10/evidence/bdns-strict/logs/bdns_autonomico__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/bdns-strict/logs/bdns_autonomico__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/bdns-strict/sql/bdns_autonomico__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/bdns-strict/sql/bdns_autonomico__strict-network_source_records_snapshot.csv	command_exit=1; tail=RuntimeError: Respuesta HTML inesperada para BDNS feed (payload_sig=0401a40b059385b8a4d3e2fd933fe16213e22dd72df2f2fe2cdbd2872114c2fa) 
bdns_api_subvenciones__strict-network	bdns_api_subvenciones	strict-network	error	1	2026-02-17T10:33:19Z	2026-02-17T10:33:20Z	docs/etl/sprints/AI-OPS-10/evidence/bdns-strict/logs/bdns_api_subvenciones__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/bdns-strict/logs/bdns_api_subvenciones__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/bdns-strict/sql/bdns_api_subvenciones__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/bdns-strict/sql/bdns_api_subvenciones__strict-network_source_records_snapshot.csv	command_exit=1; tail=RuntimeError: Respuesta HTML inesperada para BDNS feed (payload_sig=0401a40b059385b8a4d3e2fd933fe16213e22dd72df2f2fe2cdbd2872114c2fa) 
