initiative_id,doc_url,last_http_status,attempts,enm_cantidad,enm_url,classification
senado:leg15:exp:600/000001,https://www.senado.es/legis15/expedientes/600/enmiendas/global_enmiendas_vetos_15_600000001.xml,404,118,3,/web/actividadparlamentaria/iniciativas/enmiendas/index.html?legis=15=600=000001,has_enmiendas_or_unknown
senado:leg12:exp:626/000002,http://www.senado.es/legis12/expedientes/626/enmiendas/global_enmiendas_vetos_12_626000002.xml,404,117,2,/web/actividadparlamentaria/iniciativas/enmiendas/index.html?legis=12&id1=626&id2=000002,has_enmiendas_or_unknown
senado:leg15:exp:626/000009,https://www.senado.es/legis15/expedientes/626/enmiendas/global_enmiendas_vetos_15_626000009.xml,404,115,2,/web/actividadparlamentaria/iniciativas/enmiendas/index.html?legis=15=626=000009,has_enmiendas_or_unknown
senado:leg14:exp:620/000001,https://www.senado.es/legis14/expedientes/620/enmiendas/global_enmiendas_vetos_14_620000001.xml,404,114,1,/web/actividadparlamentaria/iniciativas/enmiendas/index.html?legis=14=620=000001,has_enmiendas_or_unknown
