sample_id,party_name,source_url,evidence_id,window_index,window_count,excerpt,manual_label,manual_note
S018,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560932,0,1,a base de los siguientes principios un servicio publico de calidad al servicio de los administrados una justicia profesional y altamente cualificada y una justicia tecnologicamente avanzada para ello desde foro asturias proponemos 1 elevar justicia al rango de consejeria para poner de relieve la asuncion de las compete,,
S019,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560935,0,1,turismo que antes se indico 2 dirigiremos un programa de capacitacion integral al personal idiomas tics venta trato con el cliente etc mediante acciones de formacion y reciclaje profesional mejorando el servicio en este campo las asociaciones y colectivos profesionales deberian jugar un papel fundamental canalizador bi,,
S020,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560936,0,1,vertir la perdida de poblacion activa una de las mayores limitaciones del mercado laboral asturiano 4 mejorar la formacion y la cualificacion tecnica y laboral 5 crear empleo para las mujeres como medida de avance en la igualdad de oportunidades 6 impulsar la creacion de empresas en asturias a para favorecer el empleo,,
S021,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561264,0,1,deberan establecerse fondos de pensiones privados para complementar los publicos asi como promover aportaciones claramente definidas a traves de regimenes fiscales favorables 354 deben adoptarse medidas adicionales para incrementar la tasa de ocupacion en especial entre aquellos grupos de la poblacion cuyo potencial es,,
S022,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561266,0,1,e poder lograr su desarrollo personal en libertad e igualdad independientemente de su origen genero edad raza orientacion sexual nacionalidad religion creencias situacion social o salud justicia 117 a partir de la idea de justicia se deriva el hecho que es preciso garantizar en todo momento las condiciones necesarias p,,
S023,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561267,0,1,r debe ser un asunto politico fundamental a nivel de la ue ya que es la unica manera de crear una economia basada en el conocimiento y ser competitivos en todo el mundo una de las prioridades en dicho ambito consiste en impulsar constantemente politicas en materia de educacion superior e investigacion asi como fomentar,,
S024,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561268,0,1,ementar la eficiencia energetica promover fuentes de energia con bajas emisiones de gases de efecto invernadero y diversificar las fuentes como tambien las vias de suministro energetico el continuo aumento mundial de la demanda de energia provocara precios cada vez mas altos y disminucion de las reservas por lo tanto e,,
S025,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561269,0,1,versidad y contribuir a la conservacion y regeneracion de los recursos naturales aire agua y suelo 348 la dependencia de combustibles fosiles provenientes de zonas politicamente inestables es otra razon fundamental para incrementar la eficiencia energetica promover fuentes de energia con bajas emisiones de gases de efe,,
S026,PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,1561274,0,1,r una economia basada en el conocimiento y ser competitivos en todo el mundo una de las prioridades en dicho ambito consiste en impulsar constantemente politicas en materia de educacion superior e investigacion asi como fomentar el proceso de modernizacion de los estados miembros en este campo 344 la ue debe promover u,,
S027,PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,1560844,0,1,force within the european commission and european council it is also largely represented on the ground at local and regional level more than any other party in europe through structural and cohesion policies for example we will focus on closing the gap between rural and urban areas there should be no first and second c,,
S028,PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,1560849,0,1,ations of european integration our europe has always relied on shared energy today with the consequences of the russian war of aggression in ukraine and the systemic competition with china this is all the more important we will invest more in the development of electricity and gas network interconnections between eu me,,
S029,PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,1560854,0,1,force within the european commission and european council it is also largely represented on the ground at local and regional level more than any other party in europe through structural and cohesion policies for example we will focus on closing the gap between rural and urban areas there should be no first and second c,,
S030,PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,1560994,0,1,force within the european commission and european council it is also largely represented on the ground at local and regional level more than any other party in europe through structural and cohesion policies for example we will focus on closing the gap between rural and urban areas there should be no first and second c,,
S031,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1560855,0,1,os enemigos de los trabajadores del campo son los politicos que utilizan el agua como excusa para no invertir dinero en infraestructuras hidricas enfrentando unas regiones con otras por un bien tan esencial como el agua impulsaremos un plan nacional del agua bajo los principios de solidaridad y bien 41 programa economi,,
S032,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1560858,0,1,stracion publica reducir drasticamente todo el gasto de la administracion territorial del estado las transferencias a comunidades autonomas y administraciones locales se limitaran al minimo constitucionalmente permitido crear una central de compras nacional para todos los sistemas autonomicos sanitarios farmaceuticos y,,
S033,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1560862,0,1,ceder a tramitar de forma preferente y urgente la inmediata expulsion de todos los inmigrantes que accedan ilegalmente a nuestra nacion de aquellos inmigrantes legales que cometan delitos graves o hagan del delito leve su forma de vida asi como de aquellos que decidan no integrarse con ese criterio revisar todas las re,,
S034,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1560865,0,1,os enemigos de los trabajadores del campo son los politicos que utilizan el agua como excusa para no invertir dinero en infraestructuras hidricas enfrentando unas regiones con otras por un bien tan esencial como el agua impulsaremos un plan nacional del agua bajo los principios de solidaridad y bien 41 programa economi,,
S035,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561005,0,1,os enemigos de los trabajadores del campo son los politicos que utilizan el agua como excusa para no invertir dinero en infraestructuras hidricas enfrentando unas regiones con otras por un bien tan esencial como el agua impulsaremos un plan nacional del agua bajo los principios de solidaridad y bien 41 programa economi,,
S036,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561008,0,1,stracion publica reducir drasticamente todo el gasto de la administracion territorial del estado las transferencias a comunidades autonomas y administraciones locales se limitaran al minimo constitucionalmente permitido crear una central de compras nacional para todos los sistemas autonomicos sanitarios farmaceuticos y,,
S037,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561012,0,1,ceder a tramitar de forma preferente y urgente la inmediata expulsion de todos los inmigrantes que accedan ilegalmente a nuestra nacion de aquellos inmigrantes legales que cometan delitos graves o hagan del delito leve su forma de vida asi como de aquellos que decidan no integrarse con ese criterio revisar todas las re,,
S038,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561015,0,1,os enemigos de los trabajadores del campo son los politicos que utilizan el agua como excusa para no invertir dinero en infraestructuras hidricas enfrentando unas regiones con otras por un bien tan esencial como el agua impulsaremos un plan nacional del agua bajo los principios de solidaridad y bien 41 programa economi,,
S039,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561145,0,1,os enemigos de los trabajadores del campo son los politicos que utilizan el agua como excusa para no invertir dinero en infraestructuras hidricas enfrentando unas regiones con otras por un bien tan esencial como el agua impulsaremos un plan nacional del agua bajo los principios de solidaridad y bien 41 programa economi,,
S040,VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,1561148,0,1,stracion publica reducir drasticamente todo el gasto de la administracion territorial del estado las transferencias a comunidades autonomas y administraciones locales se limitaran al minimo constitucionalmente permitido crear una central de compras nacional para todos los sistemas autonomicos sanitarios farmaceuticos y,,
