evidence_id,stance,stance_method,confidence,excerpt
1560859,unclear,declared:regex_v3,0.0,"6 industria 16 7 campo 18 8 servicios 20 por que somos mas pobres 22 1 co2 pacto verde deslocalizacion de la produccion competencia desleal 22 2 fiscalidad gasto 25 3 inmigracion coste 28 4 vivienda 5 30 programa economico y de vivienda que"
1561009,unclear,declared:regex_v3,0.0,"6 industria 16 7 campo 18 8 servicios 20 por que somos mas pobres 22 1 co2 pacto verde deslocalizacion de la produccion competencia desleal 22 2 fiscalidad gasto 25 3 inmigracion coste 28 4 vivienda 5 30 programa economico y de vivienda que"
