station_id,station_name,province,lat,lon,altitude_m,series_count,selected_series,status,apply_set
3195,"MADRID, RETIRO",MADRID,40.408,-3.684,667,1,"station=3195|var=tmed|dataset=aemet_daily_climate|freq=D|unit=degC",OK,TRUE
0076,BARCELONA AEROPUERTO,BARCELONA,41.297,2.083,4,1,"station=0076|var=prec|dataset=aemet_daily_climate|freq=D|unit=mm",OK,TRUE
