id,dataset,dimensions,frequency,unit,dimension_labels,points_count,status,apply_set,source_record_id
une_rt_a|freq=A|geo=ES|unit=PC_ACT,une_rt_a,freq=A|geo=ES|unit=PC_ACT,A,PC_ACT,freq=Annual|geo=Spain|unit=Percent of active population,3,OK,TRUE,series:4468f558922332ed237bf17f
une_rt_a|freq=A|geo=PT|unit=PC_ACT,une_rt_a,freq=A|geo=PT|unit=PC_ACT,A,PC_ACT,freq=Annual|geo=Portugal|unit=Percent of active population,3,OK,TRUE,series:3feb2dae20867f4bf608324a
