party_name,evidence_id,source_url,stance,stance_method,excerpt
BNG,1561348,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,unclear,programa_metadata,"de control en termos de seguridade e a ser o financiador a cargo de debeda publica dun gran negocio que se esta a demostrar que estivo atravesado por un afan especulativo e tramas corruptas diante dos graves efectos economicos e sociais que se derivaron da pandemia a ue deu unha resposta aparentemente distinta da despregada na crise de 20"
VOX,1560856,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"razon es bien sencilla la vivienda en propiedad fue uno de los pilares del bienestar espanol y de la expansion de las clases medias hoy todos los indicadores de precariedad en el empleo falta de vertebracion territorial desplome de la produccion industrial fiscalidad salvaje imposibilidad de ahorro etc culminan en la dificultad de acceso "
VOX,1560859,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"cacion dicen que seguimos necesitando cientos de miles de inmigrantes mas cada ano 12 vivienda en espana hay un desajuste entre la gente que busca casa y los pisos disponibles tenemos una oferta raquitica y un exceso de demanda ambos factores combinados llevan a precios de record y ambos factores son producto de las politicas bipartidista"
VOX,1560860,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"programa economico y de vivienda hay mas estamos sacrificando nuestra industria del automovil para entregarsela a china la imposicion de una transicion acelerada hacia el vehiculo electrico pone en peligro el futuro de nuestra industria automovilistica que empleo en 2024 a 221 millones de personas el mercado se esta llenando de vehiculos "
VOX,1560861,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"n desembolso extra tarjeta sanitaria privada si quieren ser atendidos pronto colegios de pago o actividades extraescolares para que sus hijos no pierdan comba gasto en seguridad o transporte privado de vuelta a casa el sobrecoste de la inmigracion se estima en mas de 30000 millones de euros anuales ni nos pagan las pensiones ni salvan nue"
VOX,1560863,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"pana se ha producido una reduccion drastica de la tasa de nacimientos estando a la cola de europa en fertilidad a pesar de ello la poblacion crece cada ano como consecuencia de la inmigracion ilegal masiva que afecta de forma transversal a todos los cimientos del pais sostenibilidad del estado de bienestar condiciones de trabajo acceso a "
VOX,1561006,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"razon es bien sencilla la vivienda en propiedad fue uno de los pilares del bienestar espanol y de la expansion de las clases medias hoy todos los indicadores de precariedad en el empleo falta de vertebracion territorial desplome de la produccion industrial fiscalidad salvaje imposibilidad de ahorro etc culminan en la dificultad de acceso "
VOX,1561009,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"cacion dicen que seguimos necesitando cientos de miles de inmigrantes mas cada ano 12 vivienda en espana hay un desajuste entre la gente que busca casa y los pisos disponibles tenemos una oferta raquitica y un exceso de demanda ambos factores combinados llevan a precios de record y ambos factores son producto de las politicas bipartidista"
VOX,1561010,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"programa economico y de vivienda hay mas estamos sacrificando nuestra industria del automovil para entregarsela a china la imposicion de una transicion acelerada hacia el vehiculo electrico pone en peligro el futuro de nuestra industria automovilistica que empleo en 2024 a 221 millones de personas el mercado se esta llenando de vehiculos "
VOX,1561011,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"n desembolso extra tarjeta sanitaria privada si quieren ser atendidos pronto colegios de pago o actividades extraescolares para que sus hijos no pierdan comba gasto en seguridad o transporte privado de vuelta a casa el sobrecoste de la inmigracion se estima en mas de 30000 millones de euros anuales ni nos pagan las pensiones ni salvan nue"
VOX,1561013,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"pana se ha producido una reduccion drastica de la tasa de nacimientos estando a la cola de europa en fertilidad a pesar de ello la poblacion crece cada ano como consecuencia de la inmigracion ilegal masiva que afecta de forma transversal a todos los cimientos del pais sostenibilidad del estado de bienestar condiciones de trabajo acceso a "
VOX,1561146,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"razon es bien sencilla la vivienda en propiedad fue uno de los pilares del bienestar espanol y de la expansion de las clases medias hoy todos los indicadores de precariedad en el empleo falta de vertebracion territorial desplome de la produccion industrial fiscalidad salvaje imposibilidad de ahorro etc culminan en la dificultad de acceso "
VOX,1561149,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"cacion dicen que seguimos necesitando cientos de miles de inmigrantes mas cada ano 12 vivienda en espana hay un desajuste entre la gente que busca casa y los pisos disponibles tenemos una oferta raquitica y un exceso de demanda ambos factores combinados llevan a precios de record y ambos factores son producto de las politicas bipartidista"
VOX,1561150,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"programa economico y de vivienda hay mas estamos sacrificando nuestra industria del automovil para entregarsela a china la imposicion de una transicion acelerada hacia el vehiculo electrico pone en peligro el futuro de nuestra industria automovilistica que empleo en 2024 a 221 millones de personas el mercado se esta llenando de vehiculos "
VOX,1561151,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"n desembolso extra tarjeta sanitaria privada si quieren ser atendidos pronto colegios de pago o actividades extraescolares para que sus hijos no pierdan comba gasto en seguridad o transporte privado de vuelta a casa el sobrecoste de la inmigracion se estima en mas de 30000 millones de euros anuales ni nos pagan las pensiones ni salvan nue"
VOX,1561153,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,unclear,programa_metadata,"pana se ha producido una reduccion drastica de la tasa de nacimientos estando a la cola de europa en fertilidad a pesar de ello la poblacion crece cada ano como consecuencia de la inmigracion ilegal masiva que afecta de forma transversal a todos los cimientos del pais sostenibilidad del estado de bienestar condiciones de trabajo acceso a "
