series_id,station_id,variable,mode,source_record_id,before_records_count,after_records_count,snapshot
station:3195:var:tmed,3195,tmed,replay,station:0076:var:prec,1,1,2026-02-17
station:3195:var:tmed,3195,tmed,replay,station:3195:var:tmed,1,1,2026-02-17
