link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,query,query_variant,search_url,candidate_rank,candidate_score,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_department,candidate_title,candidate_person_hint,match_institution,match_role
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,3,27,BOE-A-2006-1118,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-1118,25/01/2006,Ministerio de Economía y Hacienda,"Resolución de 17 de enero de 2006, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Luis Carmelo de Andrés Herranz como Jefe de la Oficina Nacional de Investigación del Fraude del Departamento de Inspección Financiera y Tributaria.",Luis Carmelo de Andrés Herranz,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,4,26,BOE-A-2004-14329,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-14329,02/08/2004,Ministerio de Defensa,"Orden DEF/2605/2004, de 27 de julio, por la que se dispone el nombramiento del General de Brigada Veterinario del Cuerpo Militar de Sanidad don David Tabanera del Real como Jefe de Apoyo Veterinario de la Inspección General de Sanidad.",,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,5,25,BOE-A-2004-10572,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-10572,08/06/2004,Ministerio de Defensa,"Orden DEF/1678/2004, de 31 de mayo, por la que se dispone el nombramiento del General de Brigada del Cuerpo General de las Armas del Ejército de Tierra don Jesús Carlos Fernández Asensio como Jefe del Estado Mayor de la Inspección General del Ejército de Tierra.",,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,6,24,BOE-A-2004-9370,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9370,20/05/2004,Ministerio de Economía y Hacienda,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Inspector Jefe de la Oficina Nacional de Inspección del Departamento de Inspección Financiera y Tributaria de don Ángel Mariano Serrano Gutiérrez.",Ángel Mariano Serrano Gutiérrez,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,7,23,BOE-A-2004-9371,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9371,20/05/2004,Ministerio de Economía y Hacienda,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Inspectora Jefe de la Oficina Nacional de Investigación del Fraude del Departamento de Inspección Financiera y Tributaria de doña Inmaculada Vela Sastre.",Inmaculada Vela Sastre,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,8,22,BOE-A-2004-1308,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-1308,22/01/2004,Ministerio de Defensa,"Orden DEF/58/2004, de 13 de enero, por la que se dispone el nombramiento del General de Brigada del Cuerpo de Intendencia del Ejército del Aire don Gonzalo Martínez Laorden como Jefe de Administración Económica de la Inspección General de Sanidad de la Defensa.",,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,9,21,BOE-A-2003-9523,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-9523,10/05/2003,Ministerio de Defensa,"Orden DEF/1135/2003, de 9 de mayo, por la que se dispone el nombramiento del Coronel Interventor del Cuerpo Militar de Intervención D. Juan Antonio Miguélez Paz como Jefe Adjunto de Administración Económica de la Inspección General de Sanidad de la Defensa.",Juan Antonio Miguélez Paz como Jefe,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,10,20,BOE-A-2003-6450,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-6450,31/03/2003,Ministerio de Defensa,"Orden DEF/703/2003, de 20 de marzo, por la que se dispone el nombramiento del General de División del Cuerpo General de las Armas del Ejército de Tierra don Pedro Vigil Gallego como Jefe del Centro de Control de Generación de Fuerzas de la Inspección General de Movilización y Comandante Militar de las provincias de Burgos y Cantabria.",,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,11,20,BOE-A-2003-1595,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-1595,25/01/2003,Ministerio de Defensa,"Orden DEF/75/2003, de 20 de enero, por la que se dispone el nombramiento del General de División Médico del Cuerpo Militar de Sanidad don Alfonso López Miranda como Jefe de la División Asistencial de la Inspección General de Sanidad de la Defensa.",,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,12,20,BOE-A-2002-13462,https://www.boe.es/buscar/doc.php?id=BOE-A-2002-13462,09/07/2002,Ministerio de Defensa,"Orden DEF/1710/2002, de 27 de junio, por la que se dispone el nombramiento del General de División Médico del Cuerpo Militar de Sanidad, don Antonio Pérez Peña como Jefe de la División Asistencial de la Inspección General de Sanidad de la Defensa.",,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,13,20,BOE-A-2002-13465,https://www.boe.es/buscar/doc.php?id=BOE-A-2002-13465,09/07/2002,Ministerio de Defensa,"Orden DEF/1713/2002, de 3 de julio, por la que se dispone el nombramiento del General de División Médico del Cuerpo Militar de Sanidad, don Vicente Carlos Navarro Ruiz como Jefe de la División Logístico-Operativa de la Inspección General de Sanidad de la Defensa.",,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,14,20,BOE-A-2002-1660,https://www.boe.es/buscar/doc.php?id=BOE-A-2002-1660,28/01/2002,Ministerio de Defensa,"Orden DEF/121/2002, de 21 de enero, por la que se dispone el nombramiento del General de Brigada Médico del Cuerpo Militar de Sanidad don Julián Relanzón López como 2.o Jefe de la División Asistencial de la Inspección General de Sanidad de la Defensa.",,1,0
